Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Fenerbahçe SK,2004-2005,27,25.3,6,3360000.0,90600000.0
Galatasaray SK,2004-2005,32,26.5,10,2490000.0,79650000.0
Beşiktaş JK,2004-2005,33,27.0,8,2310000.0,76250000.0
Trabzonspor,2004-2005,29,25.2,7,2190000.0,63600000.0
Gençlerbirliği SK,2004-2005,33,25.9,7,1420000.0,46950000.0
Gaziantepspor,2004-2005,32,24.8,6,1210000.0,38600000.0
Konyaspor,2004-2005,29,28.2,8,1280000.0,37250000.0
Samsunspor,2004-2005,37,25.9,8,936000.0,34650000.0
Malatyaspor,2004-2005,32,26.3,9,1060000.0,33950000.0
Ankaragücü,2004-2005,42,25.5,10,780000.0,32759999.999999996
Büyükşehir Belediyesi Ankaraspor,2004-2005,37,25.9,8,885000.0,32750000.0
Kayserispor,2004-2005,38,26.6,8,790000.0,30030000.0
İstanbulspor,2004-2005,34,26.0,9,810000.0,27550000.0
Denizlispor,2004-2005,30,25.7,7,908000.0,27240000.0
Akçaabat Sebatspor,2004-2005,36,27.2,5,742000.0,26730000.0
Diyarbakırspor,2004-2005,31,27.5,7,740000.0,22930000.0
Çaykur Rizespor,2004-2005,29,26.5,7,788000.0,22850000.0
Sakaryaspor,2004-2005,32,25.6,7,464000.0,14850000.0
Fenerbahçe SK,2005-2006,25,25.8,5,2920000.0,73000000.0
Beşiktaş JK,2005-2006,40,26.0,9,1740000.0,69650000.0
Galatasaray SK,2005-2006,35,25.2,6,1860000.0,64950000.0
Trabzonspor,2005-2006,35,25.2,9,1830000.0,64140000.0
Ankaraspor,2005-2006,39,25.7,8,834000.0,32530000.0
Gaziantepspor,2005-2006,39,24.7,11,826000.0,32200000.000000004
Denizlispor,2005-2006,35,26.3,9,834000.0,29210000.0
Konyaspor,2005-2006,31,26.8,7,920000.0,28520000.0
Ankaragücü,2005-2006,43,26.0,10,632000.0,27160000.0
Samsunspor,2005-2006,37,25.9,11,697000.0,25790000.0
Gençlerbirliği SK,2005-2006,34,24.9,9,755000.0,25680000.0
Malatyaspor,2005-2006,37,25.8,10,678000.0,25080000.0
Kayserispor,2005-2006,34,24.1,6,689000.0,23430000.0
Manisaspor,2005-2006,41,25.3,9,558000.0,22870000.0
Kayseri Erciyesspor,2005-2006,33,27.2,8,690000.0,22760000.0
Diyarbakırspor,2005-2006,38,28.0,8,578000.0,21980000.0
Sivasspor,2005-2006,34,26.5,9,622000.0,21150000.0
Çaykur Rizespor,2005-2006,34,26.3,9,512000.0,17420000.0
Fenerbahçe SK,2006-2007,34,26.0,7,3360000.0,114200000.0
Galatasaray SK,2006-2007,33,26.0,6,2330000.0,76880000.0
Beşiktaş JK,2006-2007,31,24.2,7,2260000.0,70070000.0
Trabzonspor,2006-2007,30,26.5,9,2250000.0,67400000.0
Ankaraspor,2006-2007,35,25.2,8,1140000.0,39900000.0
Ankaragücü,2006-2007,37,25.3,7,1020000.0,37790000.0
Sivasspor,2006-2007,35,27.1,10,1060000.0,37150000.0
Manisaspor,2006-2007,35,24.3,8,1060000.0,37100000.0
Sakaryaspor,2006-2007,42,26.0,8,873000.0,36650000.0
Konyaspor,2006-2007,32,26.3,11,1140000.0,36450000.0
Kayserispor,2006-2007,31,25.9,9,1150000.0,35650000.0
Gençlerbirliği SK,2006-2007,32,24.3,8,1110000.0,35530000.0
Kayseri Erciyesspor,2006-2007,34,27.2,8,1040000.0,35350000.0
Gaziantepspor,2006-2007,31,26.1,9,1080000.0,33400000.0
Bursaspor,2006-2007,31,25.6,4,966000.0,29950000.0
Denizlispor,2006-2007,35,26.3,9,855000.0,29930000.0
Çaykur Rizespor,2006-2007,39,25.5,9,667000.0,26000000.0
Antalyaspor,2006-2007,29,26.8,7,877000.0,25440000.0
Fenerbahçe SK,2007-2008,32,25.8,9,2980000.0,95200000.0
Galatasaray SK,2007-2008,33,25.1,8,2620000.0,86350000.0
Beşiktaş JK,2007-2008,37,24.9,10,2110000.0,78200000.0
Trabzonspor,2007-2008,34,26.4,8,1640000.0,55900000.0
Manisaspor,2007-2008,37,25.0,11,1240000.0,46000000.0
Sivasspor,2007-2008,36,25.6,12,1220000.0,43850000.0
Ankaraspor,2007-2008,39,25.5,9,1120000.0,43700000.0
Büyükşehir Belediyespor,2007-2008,34,27.2,7,1180000.0,39950000.0
Kayserispor,2007-2008,30,25.1,6,1280000.0,38500000.0
Bursaspor,2007-2008,42,24.9,12,888000.0,37300000.0
Konyaspor,2007-2008,35,26.0,13,1060000.0,37050000.0
Gaziantepspor,2007-2008,41,26.2,11,878000.0,36000000.0
Gençlerbirliği SK,2007-2008,42,24.7,12,854000.0,35850000.0
Denizlispor,2007-2008,36,25.6,8,888000.0,31950000.0
Ankaragücü,2007-2008,38,25.9,11,809000.0,30750000.0
Çaykur Rizespor,2007-2008,42,25.4,8,699000.0,29350000.0
Gençlerbirliği Oftaşspor,2007-2008,36,23.5,8,763000.0,27450000.0
Kasımpaşa,2007-2008,38,26.5,9,584000.0,22200000.0
Galatasaray SK,2008-2009,33,26.0,8,3620000.0,119600000.0
Fenerbahçe SK,2008-2009,36,25.9,10,2970000.0,106750000.0
Beşiktaş JK,2008-2009,28,26.9,12,2980000.0,83550000.0
Trabzonspor,2008-2009,28,24.7,9,2040000.0,57250000.0
Sivasspor,2008-2009,35,26.5,10,1050000.0,36700000.0
Ankaraspor,2008-2009,34,25.2,11,1040000.0,35380000.0
Kayserispor,2008-2009,31,25.1,9,1080000.0,33549999.999999996
Ankaragücü,2008-2009,40,26.4,7,749000.0,29950000.0
Bursaspor,2008-2009,37,25.8,12,797000.0,29500000.0
Gençlerbirliği SK,2008-2009,37,25.0,10,738000.0,27300000.0
Konyaspor,2008-2009,35,27.4,10,769000.0,26900000.0
Kocaelispor,2008-2009,47,27.3,12,570000.0,26800000.0
Gaziantepspor,2008-2009,33,25.0,7,798000.0,26350000.0
Eskişehirspor,2008-2009,37,25.9,8,674000.0,24950000.0
Büyükşehir Belediyespor,2008-2009,31,26.4,7,803000.0,24900000.0
Denizlispor,2008-2009,35,25.7,12,623000.0,21800000.0
Hacettepe Spor,2008-2009,39,24.1,13,546000.0,21300000.0
Antalyaspor,2008-2009,35,26.7,9,593000.0,20750000.0
Galatasaray SK,2009-2010,50,24.6,11,2580000.0,129229999.99999999
Fenerbahçe SK,2009-2010,32,26.2,9,3730000.0,119450000.0
Beşiktaş JK,2009-2010,34,26.1,13,2750000.0,93600000.0
Trabzonspor,2009-2010,30,25.8,9,2230000.0,66950000.0
Bursaspor,2009-2010,35,25.9,10,1480000.0,51750000.0
Ankaragücü,2009-2010,57,26.2,19,784000.0,44700000.0
Kayserispor,2009-2010,34,24.4,10,1130000.0,38500000.0
Sivasspor,2009-2010,38,26.3,12,886000.0,33650000.0
Gaziantepspor,2009-2010,34,26.6,11,954000.0,32450000.000000004
Gençlerbirliği SK,2009-2010,33,24.6,12,879000.0,29000000.0
Eskişehirspor,2009-2010,38,25.5,8,650000.0,24700000.0
Büyükşehir Belediyespor,2009-2010,32,26.7,7,750000.0,24000000.0
Antalyaspor,2009-2010,29,27.5,6,826000.0,23950000.0
Ankaraspor,2009-2010,41,23.9,7,494000.0,20250000.0
Kasımpaşa,2009-2010,38,28.0,10,532000.0,20200000.0
Manisaspor,2009-2010,35,25.8,9,568000.0,19880000.0
Denizlispor,2009-2010,39,26.2,10,471000.0,18350000.0
Diyarbakırspor,2009-2010,44,28.2,16,403000.0,17750000.0
Fenerbahçe SK,2010-2011,36,26.2,11,3910000.0,140650000.0
Beşiktaş JK,2010-2011,44,26.7,17,2910000.0,128250000.0
Galatasaray SK,2010-2011,38,25.8,12,3090000.0,117450000.0
Trabzonspor,2010-2011,31,26.0,9,2590000.0,80380000.0
Bursaspor,2010-2011,36,25.7,12,1820000.0,65550000.0
Kayserispor,2010-2011,33,25.0,13,1210000.0,39800000.0
Gaziantepspor,2010-2011,33,25.7,10,1160000.0,38300000.0
Ankaragücü,2010-2011,38,26.4,12,986000.0,37450000.0
Büyükşehir Belediyespor,2010-2011,34,26.5,7,1040000.0,35250000.0
Gençlerbirliği SK,2010-2011,37,24.9,14,889000.0,32900000.0
Eskişehirspor,2010-2011,31,26.4,10,992000.0,30750000.0
Sivasspor,2010-2011,37,27.3,15,819000.0,30300000.0
Manisaspor,2010-2011,35,26.6,11,719000.0,25150000.0
Antalyaspor,2010-2011,27,28.3,6,865000.0,23350000.0
Konyaspor,2010-2011,46,26.6,16,500000.0,23000000.0
Kardemir DÇ Karabükspor,2010-2011,34,27.9,9,626000.0,21300000.0
Bucaspor,2010-2011,48,25.8,13,436000.0,20950000.0
Kasımpaşa,2010-2011,33,26.1,11,521000.0,17200000.0
Fenerbahçe SK,2011-2012,31,26.3,9,4270000.0,132500000.0
Galatasaray SK,2011-2012,32,26.7,8,3890000.0,124500000.0
Beşiktaş JK,2011-2012,30,26.8,16,3570000.0,107150000.0
Trabzonspor,2011-2012,34,27.0,14,2940000.0,99950000.0
Bursaspor,2011-2012,37,25.4,14,1700000.0,62800000.0
